,date,city,state,winscore,losscore,loser,winner,locale,TSU score,opponent score,scorediff,scorediff_abs,winloss,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,opponent,gametype,year,TSU score_new,opponent score_new,scorediff_new,scorediff_abs_new,attendance_new,TSUrushyards_new,TSUreceiveyards_new,TSUkreturnyards_new,TSUpreturnyards_new,TSUtackleyd_new,TSUsacks_new,TSUsackyd_new,TSUpunt_new
91,2011-09-10,Memphis,TN,35,29,Tennessee State University,Jackson State University,Away,29,35,-6,6,Loss,43532,78,226,146,5,64,45,3.0,31,6,Jackson State University,nonconference,2011,29.0,35.0,-6.0,6.0,43532.0,78.0,226.0,146.0,5.0,45.0,3.0,31.0,6.0
92,2011-09-17,Murray,KY,58,27,Tennessee State University,Murray State University,Away,27,58,-31,31,Loss,10031,168,207,197,17,94,32,3.0,21,9,Murray State University,conference,2011,27.0,58.0,-31.0,31.0,10031.0,168.0,207.0,197.0,17.0,32.0,3.0,21.0,9.0
93,2011-09-24,Air Force Academy,CO,63,24,Tennessee State University,Air Force Academy,Away,24,63,-39,39,Loss,33487,188,206,97,0,88,0,0.0,0,8,Air Force Academy,nonconference,2011,24.0,25.82198952879581,-39.0,39.0,33487.0,188.0,206.0,97.0,0.0,0.0,0.0,0.0,8.0
94,2011-10-01,Clarksville,TN,37,34,Tennessee State University,Austin Peay State University,Away,34,37,-3,3,Loss,8614,162,304,158,0,61,20,2.0,10,2,Austin Peay State University,conference,2011,34.0,37.0,-3.0,3.0,8614.0,162.0,304.0,158.0,0.0,20.0,2.0,10.0,2.0
95,2011-10-08,Nashville,TN,55,3,Southeast Missouri State University,Tennessee State University,Home,55,3,52,52,Win,6234,258,278,15,115,54,17,1.0,9,2,Southeast Missouri State University,conference,2011,55.0,3.0,-0.17801047120418848,14.502617801047121,6234.0,258.0,278.0,15.0,18.75392670157068,17.0,1.0,9.0,2.0
96,2011-10-15,Cookeville,TN,42,40,Tennessee Tech University,Tennessee State University,Away,42,40,2,2,Win,8676,166,232,118,5,88,38,5.0,32,5,Tennessee Tech University,conference,2011,42.0,40.0,2.0,2.0,8676.0,166.0,232.0,118.0,5.0,38.0,5.0,32.0,5.0
97,2011-10-22,Richmond,KY,33,22,Tennessee State University,Eastern Kentucky University,Away,22,33,-11,11,Loss,10800,65,343,112,17,80,20,3.0,14,4,Eastern Kentucky University,conference,2011,22.0,33.0,-11.0,11.0,10800.0,65.0,343.0,112.0,17.0,20.0,3.0,14.0,4.0
98,2011-11-05,Charleston,IL,18,17,Eastern Illinois University,Tennessee State University,Away,18,17,1,1,Win,6774,200,118,64,0,59,23,3.0,17,7,Eastern Illinois University,conference,2011,18.0,17.0,1.0,1.0,6774.0,200.0,118.0,64.0,0.0,23.0,3.0,17.0,7.0
99,2011-11-12,Nashville,TN,35,30,University of Tennessee Martin,Tennessee State University,Home,35,30,5,5,Win,19537,253,263,46,5,53,14,1.0,1,5,University of Tennessee Martin,conference,2011,35.0,30.0,5.0,5.0,19537.0,253.0,263.0,46.0,5.0,14.0,1.0,1.0,5.0
100,2011-11-19,Nashville,TN,38,16,Tennessee State University,Jacksonville State University,Home,16,38,-22,22,Loss,6137,87,262,129,16,50,18,2.0,10,5,Jacksonville State University,conference,2011,16.0,38.0,-22.0,22.0,6137.0,87.0,262.0,129.0,16.0,18.0,2.0,10.0,5.0
101,2012-09-01,Nashville,TN,17,14,Florida A&M University,Tennessee State University,Home,17,14,3,3,Win,15652,138,263,52,8,49,28,1.0,5,5,Florida A&M University,nonconference,2012,17.0,14.0,3.0,3.0,15652.0,138.0,263.0,52.0,8.0,28.0,1.0,5.0,5.0
102,2012-09-08,Memphis,TN,38,12,Jackson State University,Tennessee State University,Away,38,12,26,26,Win,42257,235,137,69,42,66,21,3.0,20,8,Jackson State University,nonconference,2012,38.0,12.0,26.0,26.0,42257.0,235.0,137.0,69.0,42.0,21.0,3.0,20.0,8.0
103,2012-09-15,Nashville,TN,34,14,Austin Peay State University,Tennessee State University,Home,34,14,20,20,Win,14264,112,322,24,7,55,13,1.0,9,3,Austin Peay State University,conference,2012,34.0,14.0,20.0,20.0,14264.0,112.0,322.0,24.0,7.0,13.0,1.0,9.0,3.0
104,2012-09-22,Daytona Beach,FL,21,14,Bethune Cookman University,Tennessee State University,Away,21,14,7,7,Win,9461,200,157,41,37,84,52,4.0,30,7,Bethune Cookman University,nonconference,2012,21.0,14.0,7.0,7.0,9461.0,200.0,157.0,41.0,37.0,52.0,4.0,30.0,7.0
105,2012-09-29,Nashville,TN,40,13,University of Arkansas Pine Bluff,Tennessee State University,Home,40,13,27,27,Win,31765,201,262,47,4,62,40,3.0,29,4,University of Arkansas Pine Bluff,nonconference,2012,40.0,13.0,27.0,27.0,31765.0,201.0,262.0,47.0,4.0,40.0,3.0,29.0,4.0
106,2012-10-05,Nashville,TN,23,20,Eastern Kentucky University,Tennessee State University,Home,23,20,3,3,Win,9878,139,227,63,0,67,11,3.0,6,5,Eastern Kentucky University,conference,2012,23.0,20.0,3.0,3.0,9878.0,139.0,227.0,63.0,0.0,11.0,3.0,6.0,5.0
107,2012-10-13,Cape Girardeau,MO,40,28,Southeast Missouri State University,Tennessee State University,Away,40,28,12,12,Win,4800,306,154,56,6,74,21,2.0,13,1,Southeast Missouri State University,conference,2012,40.0,28.0,12.0,12.0,4800.0,306.0,154.0,56.0,6.0,21.0,2.0,13.0,1.0
108,2012-10-20,Jacksonville,AL,31,28,Tennessee State University,Jacksonville State University,Away,28,31,-3,3,Loss,14867,184,311,62,0,62,15,1.0,9,5,Jacksonville State University,conference,2012,28.0,31.0,-3.0,3.0,14867.0,184.0,311.0,62.0,0.0,15.0,1.0,9.0,5.0
109,2012-10-27,Nashville,TN,22,21,Tennessee Tech University,Tennessee State University,Home,22,21,1,1,Win,11373,158,294,54,44,48,13,1.0,8,4,Tennessee Tech University,conference,2012,22.0,21.0,1.0,1.0,11373.0,158.0,294.0,54.0,44.0,13.0,1.0,8.0,4.0
110,2012-11-03,Murray,KY,49,28,Tennessee State University,Murray State University,Away,28,49,-21,21,Loss,3112,138,273,195,0,72,11,1.0,7,6,Murray State University,conference,2012,28.0,49.0,-21.0,21.0,3112.0,138.0,273.0,195.0,0.0,11.0,1.0,7.0,6.0
111,2012-11-17,Martin,TN,35,26,Tennessee State University,University of Tennessee Martin,Away,26,35,-9,9,Loss,6322,122,355,101,0,79,24,1.0,6,5,University of Tennessee Martin,conference,2012,26.0,35.0,-9.0,9.0,6322.0,122.0,355.0,101.0,0.0,24.0,1.0,6.0,5.0
112,2013-09-01,Nashville,TN,12,9,Tennessee State University,Bethune Cookman University,Home,9,12,-3,3,Loss,16108,116,132,84,51,62,7,1.0,4,5,Bethune Cookman University,nonconference,2013,9.0,12.0,-3.0,3.0,16108.0,116.0,132.0,84.0,51.0,7.0,1.0,4.0,5.0
113,2013-09-07,Tallahassee,FL,27,7,Florida A&M University,Tennessee State University,Away,27,7,20,20,Win,14237,268,131,111,17,41,35,3.0,18,4,Florida A&M University,nonconference,2013,27.0,7.0,20.0,20.0,14237.0,268.0,131.0,111.0,17.0,35.0,3.0,18.0,4.0
114,2013-09-14,Memphis,TN,26,16,Jackson State University,Tennessee State University,Away,26,16,10,10,Win,42400,174,111,64,11,69,26,2.0,13,3,Jackson State University,nonconference,2013,26.0,16.0,10.0,10.0,42400.0,174.0,111.0,64.0,11.0,26.0,2.0,13.0,3.0
115,2013-09-21,Cookeville,TN,41,21,Tennessee Tech University,Tennessee State University,Away,41,21,20,20,Win,10044,95,343,63,23,76,51,3.0,28,5,Tennessee Tech University,conference,2013,41.0,21.0,20.0,20.0,10044.0,95.0,343.0,63.0,23.0,51.0,3.0,28.0,5.0
116,2013-09-28,St. Louis,MO,73,6,Central State University,Tennessee State University,Away,73,6,67,67,Win,22000,311,228,46,75,70,44,3.0,17,1,Central State University,nonconference,2013,25.643979057591622,6.0,-0.17801047120418848,14.502617801047121,22000.0,311.0,228.0,46.0,18.75392670157068,44.0,3.0,17.0,1.0
117,2013-10-05,Nashville,TN,40,16,Southeast Missouri State University,Tennessee State University,Home,40,16,24,24,Win,7374,264,280,24,7,37,12,1.0,8,3,Southeast Missouri State University,conference,2013,40.0,16.0,24.0,24.0,7374.0,264.0,280.0,24.0,7.0,12.0,1.0,8.0,3.0
118,2013-10-12,Jacksonville,AL,31,15,Jacksonville State University,Tennessee State University,Away,31,15,16,16,Win,19092,215,133,48,46,70,61,5.0,18,6,Jacksonville State University,conference,2013,31.0,15.0,16.0,16.0,19092.0,215.0,133.0,48.0,46.0,25.350785340314136,5.0,18.0,6.0
119,2013-10-19,Martin,TN,29,15,University of Tennessee Martin,Tennessee State University,Away,29,15,14,14,Win,4166,69,170,64,0,78,56,5.0,35,6,University of Tennessee Martin,conference,2013,29.0,15.0,14.0,14.0,4166.0,69.0,170.0,64.0,0.0,56.0,5.0,35.0,6.0
120,2013-10-26,Nashville,TN,34,16,Tennessee State University,Eastern Illinois University,Home,16,34,-18,18,Loss,22157,126,212,19,56,70,31,3.0,27,8,Eastern Illinois University,conference,2013,16.0,34.0,-18.0,18.0,22157.0,126.0,212.0,19.0,56.0,31.0,3.0,27.0,8.0
121,2013-11-02,Richmond,KY,44,0,Tennessee State University,Eastern Kentucky University,Away,0,44,-44,44,Loss,5700,71,101,96,-1,63,3,0.0,0,9,Eastern Kentucky University,conference,2013,0.0,44.0,-0.17801047120418848,44.0,5700.0,71.0,101.0,96.0,-1.0,3.0,0.0,0.0,9.0
122,2013-11-09,Nashville,TN,31,6,Austin Peay State University,Tennessee State University,Home,31,6,25,25,Win,5258,146,173,8,13,60,59,5.0,37,5,Austin Peay State University,conference,2013,31.0,6.0,25.0,25.0,5258.0,146.0,173.0,8.0,13.0,59.0,5.0,37.0,5.0
123,2013-11-16,Nashville,TN,17,10,Murray State University,Tennessee State University,Home,17,10,7,7,Win,6412,241,60,45,19,54,31,3.0,20,8,Murray State University,conference,2013,17.0,10.0,7.0,7.0,6412.0,241.0,60.0,45.0,19.0,31.0,3.0,20.0,8.0
124,2013-11-30,Indianapolis,IN,31,0,Butler University,Tennessee State University,Away,31,0,31,31,Win,1928,152,263,-9,-3,47,21,2.0,7,4,Butler University,nonconference,2013,31.0,0.0,31.0,31.0,1928.0,152.0,263.0,-9.0,-3.0,21.0,2.0,7.0,4.0
125,2013-12-07,Charleston,IL,51,10,Tennessee State University,Eastern Illinois University,Away,10,51,-41,41,Loss,4825,45,242,52,2,73,13,1.0,5,8,Eastern Illinois University,conference,2013,10.0,51.0,-41.0,41.0,4825.0,45.0,242.0,52.0,2.0,13.0,1.0,5.0,8.0
126,2014-08-30,Nashville,TN,58,6,Edward Waters College,Tennessee State University,Home,58,6,52,52,Win,10541,439,71,77,57,53,38,2.0,13,1,Edward Waters College,nonconference,2014,58.0,6.0,-0.17801047120418848,14.502617801047121,10541.0,157.7696335078534,71.0,77.0,57.0,38.0,2.0,13.0,1.0
127,2014-09-06,Montgomery,AL,27,21,Tennessee State University,Alabama State University,Away,21,27,-6,6,Loss,15725,92,340,111,22,89,28,3.0,13,8,Alabama State University,nonconference,2014,21.0,27.0,-6.0,6.0,15725.0,92.0,340.0,111.0,22.0,28.0,3.0,13.0,8.0
128,2014-09-13,Memphis,TN,35,7,Jackson State University,Tennessee State University,Away,35,7,28,28,Win,46914,137,187,29,40,54,40,7.0,33,8,Jackson State University,nonconference,2014,35.0,7.0,28.0,28.0,16985.230366492146,137.0,187.0,29.0,40.0,40.0,2.089005235602094,33.0,8.0
129,2014-09-20,Nashville,TN,10,7,Tennessee Tech University,Tennessee State University,Home,10,7,3,3,Win,9217,92,113,0,15,48,31,6.0,28,9,Tennessee Tech University,conference,2014,10.0,7.0,3.0,3.0,9217.0,92.0,113.0,0.0,15.0,31.0,6.0,28.0,9.0
130,2014-09-27,Nashville,TN,27,7,Florida A&M University,Tennessee State University,Home,27,7,20,20,Win,29225,125,153,24,56,64,51,7.0,44,7,Florida A&M University,nonconference,2014,27.0,7.0,20.0,20.0,29225.0,125.0,153.0,24.0,56.0,51.0,2.089005235602094,13.534031413612565,7.0
131,2014-10-04,Cape Girardeau,MO,28,21,Tennessee State University,Southeast Missouri State University,Away,21,28,-7,7,Loss,8089,143,362,53,24,81,9,0.0,0,5,Southeast Missouri State University,conference,2014,21.0,28.0,-7.0,7.0,8089.0,143.0,362.0,53.0,24.0,9.0,0.0,0.0,5.0
132,2014-10-11,Nashville,TN,27,20,Tennessee State University,Jacksonville State University,Home,20,27,-7,7,Loss,5849,43,364,63,12,75,21,2.0,13,3,Jacksonville State University,conference,2014,20.0,27.0,-7.0,7.0,5849.0,43.0,364.0,63.0,12.0,21.0,2.0,13.0,3.0
133,2014-10-18,Nashville,TN,21,16,Tennessee State University,University of Tennessee Martin,Home,16,21,-5,5,Loss,6738,53,314,32,-1,73,48,3.0,22,8,University of Tennessee Martin,conference,2014,16.0,21.0,-5.0,5.0,6738.0,53.0,314.0,32.0,-1.0,48.0,3.0,22.0,8.0
134,2014-10-25,Charleston,IL,28,3,Tennessee State University,Eastern Illinois University,Away,3,28,-25,25,Loss,8289,107,180,136,1,54,17,1.0,9,6,Eastern Illinois University,conference,2014,3.0,28.0,-25.0,25.0,8289.0,107.0,180.0,136.0,1.0,17.0,1.0,9.0,6.0
135,2014-11-01,Nashville,TN,56,42,Tennessee State University,Eastern Kentucky University,Home,42,56,-14,14,Loss,5052,105,326,198,0,84,19,2.0,4,5,Eastern Kentucky University,conference,2014,42.0,56.0,-14.0,14.0,5052.0,105.0,326.0,198.0,0.0,19.0,2.0,4.0,5.0
136,2014-11-08,Clarksville,TN,31,27,Austin Peay State University,Tennessee State University,Away,31,27,4,4,Win,6143,111,395,58,-2,85,29,2.0,15,0,Austin Peay State University,conference,2014,31.0,27.0,4.0,4.0,6143.0,111.0,395.0,58.0,-2.0,29.0,2.0,15.0,5.162303664921466
137,2014-11-22,Murray,KY,48,33,Murray State University,Tennessee State University,Away,48,33,15,15,Win,1962,114,463,48,0,81,63,8.0,51,6,Murray State University,conference,2014,48.0,33.0,15.0,15.0,1962.0,114.0,210.36125654450262,48.0,0.0,25.350785340314136,2.089005235602094,13.534031413612565,6.0
138,2015-09-06,Nashville,TN,24,14,Alabama State University,Tennessee State University,Home,24,14,10,10,Win,22455,142,188,58,38,47,21,1.0,12,5,Alabama State University,nonconference,2015,24.0,14.0,10.0,10.0,22455.0,142.0,188.0,58.0,38.0,21.0,1.0,12.0,5.0
139,2015-09-12,Memphis,TN,35,25,Jackson State University,Tennessee State University,Away,35,25,10,10,Win,48385,110,304,152,48,83,38,5.0,31,5,Jackson State University,nonconference,2015,35.0,25.0,10.0,10.0,16985.230366492146,110.0,304.0,152.0,48.0,38.0,5.0,31.0,5.0
140,2015-09-19,Jacksonville,AL,48,13,Tennessee State University,Jacksonville State University,Away,13,48,-35,35,Loss,23413,24,184,102,0,83,4,0.0,0,7,Jacksonville State University,conference,2015,13.0,48.0,-35.0,35.0,23413.0,24.0,184.0,102.0,0.0,4.0,0.0,0.0,7.0
141,2015-09-26,Tallahassee,FL,30,14,Florida A&M University,Tennessee State University,Away,30,14,16,16,Win,18020,169,238,46,15,68,44,4.0,22,8,Florida A&M University,nonconference,2015,30.0,14.0,16.0,16.0,18020.0,169.0,238.0,46.0,15.0,44.0,4.0,22.0,8.0
142,2015-10-10,Martin,TN,28,14,Tennessee State University,University of Tennessee Martin,Away,14,28,-14,14,Loss,7123,85,205,40,4,71,7,0.0,0,6,University of Tennessee Martin,conference,2015,14.0,28.0,-14.0,14.0,7123.0,85.0,205.0,40.0,4.0,7.0,0.0,0.0,6.0
143,2015-10-17,Nashville,TN,25,22,Tennessee State University,Eastern Illinois University,Home,22,25,-3,3,Loss,22144,162,125,22,22,60,12,0.0,0,7,Eastern Illinois University,conference,2015,22.0,25.0,-3.0,3.0,22144.0,162.0,125.0,22.0,22.0,12.0,0.0,0.0,7.0
144,2015-10-24,Richmond,KY,45,21,Tennessee State University,Eastern Kentucky University,Away,21,45,-24,24,Loss,9400,129,222,4,11,65,12,0.0,0,5,Eastern Kentucky University,conference,2015,21.0,45.0,-24.0,24.0,9400.0,129.0,222.0,4.0,11.0,12.0,0.0,0.0,5.0
145,2015-10-31,Nashville,TN,20,6,Austin Peay State University,Tennessee State University,Home,20,6,14,14,Win,5985,165,76,46,-2,62,7,0.0,0,7,Austin Peay State University,conference,2015,20.0,6.0,14.0,14.0,5985.0,165.0,76.0,46.0,-2.0,7.0,0.0,0.0,7.0
146,2015-11-07,Nashville,TN,46,43,Tennessee State University,Murray State University,Home,43,46,-3,3,Loss,7897,125,329,86,3,92,69,8.0,55,6,Murray State University,conference,2015,43.0,46.0,-3.0,3.0,7897.0,125.0,329.0,86.0,3.0,25.350785340314136,2.089005235602094,13.534031413612565,6.0
147,2015-11-21,Cookeville,TN,30,24,Tennessee State University,Tennessee Tech University,Away,24,30,-6,6,Loss,3924,123,221,61,9,53,28,3.0,25,5,Tennessee Tech University,conference,2015,24.0,30.0,-6.0,6.0,3924.0,123.0,221.0,61.0,9.0,28.0,3.0,25.0,5.0
148,2016-09-03,Nashville,TN,44,0,University of Arkansas Pine Bluff,Tennessee State University,Home,44,0,44,44,Win,15078,202,259,29,64,52,39,5.0,31,3,University of Arkansas Pine Bluff,nonconference,2016,44.0,0.0,-0.17801047120418848,44.0,15078.0,202.0,259.0,29.0,64.0,39.0,5.0,31.0,3.0
149,2016-09-10,Memphis,TN,40,26,Jackson State University,Tennessee State University,Away,40,26,14,14,Win,46263,121,273,96,11,61,40,3.0,21,6,Jackson State University,nonconference,2016,40.0,26.0,14.0,14.0,16985.230366492146,121.0,273.0,96.0,11.0,40.0,3.0,21.0,6.0
150,2016-09-17,Daytona Beach,FL,31,24,Bethune Cookman University,Tennessee State University,Away,31,24,7,7,Win,9385,210,184,122,23,52,17,1.0,1,5,Bethune Cookman University,nonconference,2016,31.0,24.0,7.0,7.0,9385.0,210.0,184.0,122.0,23.0,17.0,1.0,1.0,5.0
151,2016-10-01,Nashville,TN,34,30,University of Tennessee Martin,Tennessee State University,Home,34,30,4,4,Win,10001,141,223,80,0,63,28,2.0,12,1,University of Tennessee Martin,conference,2016,34.0,30.0,4.0,4.0,10001.0,141.0,223.0,80.0,0.0,28.0,2.0,12.0,1.0
152,2016-10-08,Charleston,IL,35,34,Tennessee State University,Eastern Illinois University,Away,34,35,-1,1,Loss,4319,76,303,113,0,75,6,1.0,3,5,Eastern Illinois University,conference,2016,34.0,35.0,-1.0,1.0,4319.0,76.0,303.0,113.0,0.0,6.0,1.0,3.0,5.0
153,2016-10-15,Nashville,TN,35,28,Eastern Kentucky University,Tennessee State University,Home,35,28,7,7,Win,21053,200,181,78,0,74,14,0.0,0,3,Eastern Kentucky University,conference,2016,35.0,28.0,7.0,7.0,21053.0,200.0,181.0,78.0,0.0,14.0,0.0,0.0,3.0
154,2016-10-22,Nashville,TN,35,17,Tennessee State University,Vanderbilt University,Home,17,35,-18,18,Loss,31084,125,285,59,0,65,6,1.0,5,3,Vanderbilt University,nonconference,2016,17.0,35.0,-18.0,18.0,31084.0,125.0,285.0,59.0,0.0,6.0,1.0,5.0,3.0
155,2016-10-29,Murray,KY,38,31,Tennessee State University,Murray State University,Away,31,38,-7,7,Loss,8605,226,329,142,10,74,20,2.0,14,2,Murray State University,conference,2016,31.0,38.0,-7.0,7.0,8605.0,226.0,329.0,142.0,10.0,20.0,2.0,14.0,2.0
156,2016-11-05,Clarksville,TN,41,40,Austin Peay State University,Tennessee State University,Away,41,40,1,1,Win,6041,246,212,86,14,90,24,2.0,13,5,Austin Peay State University,conference,2016,41.0,40.0,1.0,1.0,6041.0,246.0,212.0,86.0,14.0,24.0,2.0,13.0,5.0
157,2016-11-12,Nashville,TN,44,16,Tennessee State University,Tennessee Tech University,Home,16,44,-28,28,Loss,8981,93,202,93,17,53,2,1.0,0,3,Tennessee Tech University,conference,2016,16.0,44.0,-28.0,28.0,8981.0,93.0,202.0,93.0,17.0,2.0,1.0,0.0,3.0
158,2016-11-19,Cape Girardeau,MO,32,31,Southeast Missouri State University,Tennessee State University,Away,32,31,1,1,Win,3117,196,279,93,17,69,36,3.0,26,3,Southeast Missouri State University,conference,2016,32.0,31.0,1.0,1.0,3117.0,196.0,279.0,93.0,17.0,36.0,3.0,26.0,3.0
159,2017-08-31,Atlanta,GA,17,10,Georgia State University,Tennessee State University,Away,17,10,7,7,Win,24333,238,145,44,0,59,26,3.0,17,5,Georgia State University,nonconference,2017,17.0,10.0,7.0,7.0,24333.0,238.0,145.0,44.0,0.0,26.0,3.0,17.0,5.0
160,2017-09-09,Memphis,TN,17,15,Jackson State University,Tennessee State University,Away,17,15,2,2,Win,47407,160,78,49,41,76,21,4.0,18,6,Jackson State University,nonconference,2017,17.0,15.0,2.0,2.0,16985.230366492146,160.0,78.0,49.0,41.0,21.0,4.0,18.0,6.0
161,2017-09-17,Tampa,FL,24,13,Florida A&M University,Tennessee State University,Away,24,13,11,11,Win,17102,241,273,63,7,38,19,0.0,0,2,Florida A&M University,nonconference,2017,24.0,13.0,11.0,11.0,17102.0,241.0,273.0,63.0,7.0,19.0,0.0,0.0,2.0
162,2017-09-23,Martin,TN,31,16,Tennessee State University,University of Tennessee Martin,Away,16,31,-15,15,Loss,6484,100,159,160,3,77,21,1.0,5,6,University of Tennessee Martin,conference,2017,16.0,31.0,-15.0,15.0,6484.0,100.0,159.0,160.0,3.0,21.0,1.0,5.0,6.0
163,2017-09-30,Nashville,TN,19,16,Tennessee State University,Eastern Illinois University,Home,16,19,-3,3,Loss,11013,83,195,48,0,73,14,0.0,0,6,Eastern Illinois University,conference,2017,16.0,19.0,-3.0,3.0,11013.0,83.0,195.0,48.0,0.0,14.0,0.0,0.0,6.0
164,2017-10-07,Richmond,KY,45,21,Eastern Kentucky University,Tennessee State University,Away,45,21,24,24,Win,8410,193,106,25,-3,60,8,1.0,1,5,Eastern Kentucky University,conference,2017,45.0,21.0,24.0,24.0,8410.0,193.0,106.0,25.0,-3.0,8.0,1.0,1.0,5.0
165,2017-10-14,Nashville,TN,21,17,Tennessee State University,Austin Peay State University,Home,17,21,-4,4,Loss,21127,106,208,64,13,61,11,1.0,0,4,Austin Peay State University,conference,2017,17.0,21.0,-4.0,4.0,21127.0,106.0,208.0,64.0,13.0,11.0,1.0,0.0,4.0
166,2017-10-28,Cookeville,TN,30,26,Tennessee State University,Tennessee Tech University,Away,26,30,-4,4,Loss,5235,83,331,135,-2,62,28,1.0,9,4,Tennessee Tech University,conference,2017,26.0,30.0,-4.0,4.0,5235.0,83.0,331.0,135.0,-2.0,28.0,1.0,9.0,4.0
167,2017-11-04,Nashville,TN,60,0,Virginia University Lynchburg,Tennessee State University,Home,60,0,60,60,Win,7487,174,274,18,94,41,45,6.0,34,3,Virginia University Lynchburg,nonconference,2017,25.643979057591622,0.0,-0.17801047120418848,14.502617801047121,7487.0,174.0,274.0,18.0,18.75392670157068,45.0,6.0,34.0,3.0
168,2017-11-11,Nashville,TN,23,20,Southeast Missouri State University,Tennessee State University,Home,23,20,3,3,Win,8693,147,196,103,29,57,14,1.0,5,4,Southeast Missouri State University,conference,2017,23.0,20.0,3.0,3.0,8693.0,147.0,196.0,103.0,29.0,14.0,1.0,5.0,4.0
169,2017-11-16,Jacksonville,AL,36,6,Tennessee State University,Jacksonville State University,Away,6,36,-30,30,Loss,18782,15,82,140,1,71,18,1.0,9,11,Jacksonville State University,conference,2017,6.0,36.0,-30.0,30.0,18782.0,15.0,82.0,140.0,1.0,18.0,1.0,9.0,5.162303664921466
170,2018-09-01,Nashville,TN,34,3,Bethune Cookman University,Tennessee State University,Home,34,3,31,31,Win,14069,201,324,49,64,54,43,5.0,35,6,Bethune Cookman University,nonconference,2018,34.0,3.0,31.0,31.0,14069.0,201.0,324.0,49.0,64.0,43.0,5.0,35.0,6.0
171,2018-09-22,Charleston,IL,41,40,Eastern Illinois University,Tennessee State University,Away,41,40,1,1,Win,7670,195,349,150,51,63,30,2.0,15,4,Eastern Illinois University,conference,2018,41.0,40.0,1.0,1.0,7670.0,195.0,349.0,150.0,51.0,30.0,2.0,15.0,4.0
172,2018-09-29,Nashville,TN,31,27,Tennessee State University,Vanderbilt University,Home,27,31,-4,4,Loss,27340,104,269,105,3,69,5,0.0,0,4,Vanderbilt University,nonconference,2018,27.0,31.0,-4.0,4.0,27340.0,104.0,269.0,105.0,3.0,5.0,0.0,0.0,4.0
173,2018-10-06,Clarksville,TN,49,34,Tennessee State University,Austin Peay State University,Away,34,49,-15,15,Loss,12201,164,325,134,34,77,19,0.0,0,4,Austin Peay State University,conference,2018,34.0,49.0,-15.0,15.0,12201.0,164.0,325.0,134.0,34.0,19.0,0.0,0.0,4.0
174,2018-10-13,Murray,KY,45,21,Tennessee State University,Murray State University,Away,21,45,-24,24,Loss,3318,63,307,140,-1,74,19,1.0,7,5,Murray State University,conference,2018,21.0,45.0,-24.0,24.0,3318.0,63.0,307.0,140.0,-1.0,19.0,1.0,7.0,5.0
175,2018-10-20,Nashville,TN,41,14,Tennessee Tech University,Tennessee State University,Home,41,14,27,27,Win,17283,149,323,48,14,77,28,4.0,21,4,Tennessee Tech University,conference,2018,41.0,14.0,27.0,27.0,17283.0,149.0,323.0,48.0,14.0,28.0,4.0,21.0,4.0
176,2018-11-03,Cape Girardeau,MO,38,21,Tennessee State University,Southeast Missouri State University,Away,21,38,-17,17,Loss,3481,253,255,78,0,65,28,2.0,14,3,Southeast Missouri State University,conference,2018,21.0,38.0,-17.0,17.0,3481.0,253.0,255.0,78.0,0.0,28.0,2.0,14.0,3.0
177,2018-11-10,Nashville,TN,41,14,Tennessee State University,Jacksonville State University,Home,14,41,-27,27,Loss,6718,178,164,36,0,60,27,2.0,19,5,Jacksonville State University,conference,2018,14.0,41.0,-27.0,27.0,6718.0,178.0,164.0,36.0,0.0,27.0,2.0,19.0,5.0
178,2018-11-17,Nashville,TN,31,28,University of Tennessee Martin,Tennessee State University,Home,31,28,3,3,Win,3618,89,170,63,29,64,38,2.0,18,7,University of Tennessee Martin,conference,2018,31.0,28.0,3.0,3.0,3618.0,89.0,170.0,63.0,29.0,38.0,2.0,18.0,7.0
179,2019-08-31,Nashville,TN,26,20,Mississippi Valley State University,Tennessee State University,Home,26,20,6,6,Win,13458,117,330,13,61,58,3,0.0,0,6,Mississippi Valley State University,nonconference,2019,26.0,20.0,6.0,6.0,13458.0,117.0,330.0,13.0,61.0,3.0,0.0,0.0,6.0
180,2019-09-07,Murfreesboro,TN,45,26,Tennessee State University,Middle Tennessee State University,Away,26,45,-19,19,Loss,20912,207,259,108,0,49,13,1.0,7,5,Middle Tennessee State University,nonconference,2019,26.0,45.0,-19.0,19.0,20912.0,207.0,259.0,108.0,0.0,13.0,1.0,7.0,5.0
181,2019-09-14,Memphis,TN,49,44,Tennessee State University,Jackson State University,Away,44,49,-5,5,Loss,48347,141,389,155,0,55,19,1.0,8,3,Jackson State University,nonconference,2019,44.0,49.0,-5.0,5.0,16985.230366492146,141.0,389.0,155.0,0.0,19.0,1.0,8.0,3.0
182,2019-09-21,Nashville,TN,37,31,Tennessee State University,University of Arkansas Pine Bluff,Home,31,37,-6,6,Loss,8683,71,334,74,15,65,13,1.0,3,6,University of Arkansas Pine Bluff,nonconference,2019,31.0,37.0,-6.0,6.0,8683.0,71.0,334.0,74.0,15.0,13.0,1.0,3.0,6.0
